Source,Title,Person,Type,Given,Given2,Surname,Maiden,Maiden2,Gender,Start,End,Remove,Header,Footer
200090722-echoes-vol_2.pdf,Images_Etched_Into_My_Mind,1,E,Manya,,Friedman,Moszkowicz,,F,24,27,6,HOLOCAUST; MEMORIAL; MUSEUM,ECHOES; OF; MEMORY
200090722-echoes-vol_2.pdf,Memories_Of_A_Remarkable_Woman,1,E,Manya,,Friedman,Moszkowicz,,F,28,30,3,HOLOCAUST; MEMORIAL; MUSEUM,ECHOES; OF; MEMORY
200090722-echoes-vol_2.pdf,Their_Destination_Was_Auschwitz,1,E,Manya,,Friedman,Moszkowicz,,F,31,34,3,HOLOCAUST; MEMORIAL; MUSEUM,ECHOES; OF; MEMORY
200090722-echoes-vol_2.pdf,Fabrik_Aktion,1,E,Fritz,,Gluckstein,,,M,36,39,6,HOLOCAUST; MEMORIAL; MUSEUM,ECHOES; OF; MEMORY
200090722-echoes-vol_2.pdf,The_Final_Days,1,E,Fritz,,Gluckstein,,,M,40,42,3,HOLOCAUST; MEMORIAL; MUSEUM,ECHOES; OF; MEMORY
200090722-echoes-vol_2.pdf,The_Gang,1,E,Fritz,,Gluckstein,,,M,43,45,3,HOLOCAUST; MEMORIAL; MUSEUM,ECHOES; OF; MEMORY
200090722-echoes-vol_2.pdf,A_Lesson_In_Geography,1,E,Charlene,,Schiff,,,F,64,66,6,HOLOCAUST; MEMORIAL; MUSEUM,ECHOES; OF; MEMORY
200090722-echoes-vol_2.pdf,If_Rivers_Could_Speak,1,E,Charlene,,Schiff,,,F,70,71,3,HOLOCAUST; MEMORIAL; MUSEUM,ECHOES; OF; MEMORY
200090722-echoes-vol_2.pdf,I_Was_But_A_Child,1,E,Flora,,Singer,,,F,77,80,3,HOLOCAUST; MEMORIAL; MUSEUM,ECHOES; OF; MEMORY
200090722-echoes-vol_2.pdf,A_Letter_To_My_Mother,1,E,Esther,,Starobin,,,F,82,84,6,HOLOCAUST; MEMORIAL; MUSEUM,ECHOES; OF; MEMORY
